gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
8530,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PFIZER INC,PFE,717081103,78003,2834,325412
8539,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EXELON CORP,EXC,30161N101,1109357,4911,22111
8543,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALTRIA GROUP INC,MO,02209S103,764180,2111,312230
8549,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONOCOPHILLIPS,COP,20825C104,1163165,1311,211111
8762,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PROCTER & GAMBLE CO,PG,742718109,80424,2840,325611
8810,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106,788784,4931,22111
8972,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RAYTHEON CO,RTN,755111507,1047122,3812,334511
9203,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ROCKWELL AUTOMATION,ROK,773903109,1024478,3620,335314
9846,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EDISON INTERNATIONAL,EIX,281020107,827052,4911,22111
9850,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SOUTHERN CO,SO,842587107,92122,4911,2211
10499,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEXAS INSTRUMENTS INC,TXN,882508104,97476,3674,334413
10867,1,3,19640331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNION PACIFIC CORP,UNP,907818108,100885,4011,482111
