gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
177376,3,20070702,,I0003,DISCOVER FINANCIAL SVCS,DFS,1393612
125595,3,20070712,,I0003,AKAMAI TECHNOLOGIES INC,AKAM,1086222
6682,3,20070827,,I0003,JEFFERIES FINANCIAL GRP INC,JEF,96223
27965,3,20070907,,I0003,MICROCHIP TECHNOLOGY INC,MCHP,827054
163610,3,20070926,,I0003,INTERCONTINENTAL EXCHANGE,ICE,1571949
10466,3,20070927,,I0003,ANDEAVOR,ANDV,50104
178310,3,20071001,20170618,I0003,TERADATA CORP,TDC,816761
126296,3,20071002,,I0003,EXPEDIA GROUP INC,EXPE,1324424
7912,3,20071008,,I0003,NOBLE ENERGY INC,NBL,72207
4494,3,20071010,,I0003,EXPEDITORS INTL WASH INC,EXPD,746515
166451,3,20071025,20131112,I0003,NYSE EURONEXT,NYX,1368007
6216,3,20071026,,I0003,JACOBS ENGINEERING GROUP INC,JEC,52988
62984,3,20071029,20121223,I0003,TITANIUM METALS CORP,TIE,1011657
8694,3,20071109,20160329,I0003,PEPCO HOLDINGS INC,POM,1135971
105365,3,20071119,,I0003,AMERICAN TOWER CORP,AMT,1053507
145049,3,20071214,20160424,I0003,GAMESTOP CORP,GME,1326380
6788,3,20071221,20180617,I0003,RANGE RESOURCES CORP,RRC,315852
11300,3,20071231,20140921,I0003,GRAHAM HOLDINGS CO,GHC,104889
10631,3,20080102,,I0003,TOTAL SYSTEM SERVICES INC,TSS,721683
60894,3,20080129,20160403,I0003,CAMERON INTERNATIONAL CORP,CAM,941548
13125,3,20080331,,I0003,HCP INC,HCP,765880
179621,3,20080331,,I0003,PHILIP MORRIS INTERNATIONAL,PM,1413329
136725,3,20080602,,I0003,INTUITIVE SURGICAL INC,ISRG,1035267
9904,3,20080606,20170403,I0003,SOUTHWESTERN ENERGY CO,SWN,7332
147175,3,20080611,20150611,I0003,LORILLARD INC,LO,1424847
20548,3,20080623,,I0003,CABOT OIL & GAS CORP,COG,858470
29968,3,20080701,20111218,I0003,AK STEEL HOLDING CORP,AKS,918160
180167,3,20080701,20180306,I0003,SCRIPPS NETWORKS INTERACTIVE,SNI,1430602
160225,3,20080718,,I0003,MASTERCARD INC,MA,1141391
61483,3,20080731,,I0003,DAVITA INC,DVA,927066
29804,3,20080821,,I0003,INVESCO LTD,IVZ,914208
163946,3,20080827,,I0003,CF INDUSTRIES HOLDINGS INC,CF,1324404
14225,3,20080915,,I0003,FASTENAL CO,FAST,815556
157855,3,20080915,,I0003,SALESFORCE.COM INC,CRM,1108524
5492,3,20080922,,I0003,HARRIS CORP,HRS,202058
14359,3,20080924,,I0003,PIONEER NATURAL RESOURCES CO,PXD,1038357
14282,3,20080930,,I0003,AMPHENOL CORP,APH,820313
4108,3,20081002,,I0003,FLOWSERVE CORP,FLS,30625
179700,3,20081007,20180701,I0003,DR PEPPER SNAPPLE GROUP INC,DPS,
149337,3,20081022,,I0003,NASDAQ INC,NDAQ,1120193
11550,3,20081031,,I0003,WEC ENERGY GROUP INC,WEC,783325
9777,3,20081106,,I0003,SMUCKER (JM) CO,SJM,91419
16245,3,20081113,,I0003,PEOPLE'S UNITED FINL INC,PBCT,1378946
13700,3,20081114,,I0003,DENTSPLY SIRONA INC,XRAY,818479
149318,3,20081114,,I0003,WYNN RESORTS LTD,WYNN,1174922
63527,3,20081119,,I0003,STERICYCLE INC,SRCL,861878
118577,3,20081124,20140123,I0003,LIFE TECHNOLOGIES CORP,LIFE.3,1073431
4094,3,20081202,20170404,I0003,DUN & BRADSTREET CORP,DNB,1115222
112168,3,20081205,,I0003,REPUBLIC SERVICES INC,RSG,1060391
4430,3,20081219,,I0003,EQT CORP,EQT,33213
9445,3,20090102,,I0003,SCANA CORP,SCG,754737
28477,3,20090102,,I0003,FLIR SYSTEMS INC,FLIR,354908
8215,3,20090102,20161201,I0003,OWENS-ILLINOIS INC,OI,812074
62374,3,20090106,,I0003,IRON MOUNTAIN INC,IRM,1020569
5543,3,20090130,,I0003,WELLTOWER INC,WELL,766704
61409,3,20090226,20161002,I0003,DIAMOND OFFSHRE DRILLING INC,DO,949039
5709,3,20090304,,I0003,HORMEL FOODS CORP,HRL,48465
110179,3,20090304,,I0003,VENTAS INC,VTR,740260
7970,3,20090317,,I0003,EVERSOURCE ENERGY,ES,72741
28180,3,20090327,,I0003,O'REILLY AUTOMOTIVE INC,ORLY,898173
176404,3,20090330,20160517,I0003,TIME WARNER CABLE INC,TWC,1377013
20653,3,20090402,20150322,I0003,DENBURY RESOURCES INC,DNR,945764
142811,3,20090605,20170116,I0003,FMC TECHNOLOGIES INC,FTI.1,1135152
3905,3,20090609,20120930,I0003,ADTALEM GLOBAL EDUCATION INC,ATGE,730464
160256,3,20090630,20130430,I0003,METROPCS COMMUNICATIONS INC,PCS,
11399,3,20090701,,I0003,WESTERN DIGITAL CORP,WDC,106040
66446,3,20090701,,I0003,QUANTA SERVICES INC,PWR,1050915
122841,3,20090727,,I0003,RED HAT INC,RHT,1087423
4510,3,20090819,,I0003,FMC CORP,FMC,37785
183257,3,20090901,20150317,I0003,CAREFUSION CORP,CFN,1457543
12950,3,20090909,20160522,I0003,AIRGAS INC,ARG,804212
175404,3,20091016,20170319,I0003,FIRST SOLAR INC,FSLR,1274494
119314,3,20091106,,I0003,BOOKING HOLDINGS INC,BKNG,1075531
9248,3,20091221,,I0003,ROSS STORES INC,ROST,745732
179534,3,20091221,,I0003,VISA INC,V,1403161
165123,3,20091221,20130922,I0003,LEIDOS HOLDINGS INC,LDOS,1336920
3107,3,20091221,20140401,I0003,CLEVELAND-CLIFFS INC,CLF,764065
180833,3,20091221,20170618,I0003,MEAD JOHNSON NUTRITION CO,MJN,1452575
24925,3,20091223,,I0003,ROPER TECHNOLOGIES INC,ROP,882835
135990,3,20100129,,I0003,NRG ENERGY INC,NRG,1013871
29150,3,20100208,20170319,I0003,URBAN OUTFITTERS INC,URBN,912615
2176,3,20100216,,I0003,BERKSHIRE HATHAWAY,BRK.B,1067983
5581,3,20100301,,I0003,HELMERICH & PAYNE,HP,46765
164296,3,20100301,,I0003,DISCOVERY INC,DISCA,1437107
8151,3,20100315,,I0003,ONEOK INC,OKE,1039684
12850,3,20100430,,I0003,CERNER CORP,CERN,804753
64410,3,20100628,,I0003,CARMAX INC,KMX,1170010
154357,3,20100701,20150630,I0003,QEP RESOURCES INC,QEP,1108827
28034,3,20100715,,I0003,CHUBB LTD,CB,896159
10787,3,20100827,20160905,I0003,TYCO INTERNATIONAL PLC,TYC,1608109
5959,3,20101117,,I0003,INGERSOLL-RAND PLC,IR,1466258
29173,3,20101220,,I0003,NEWFIELD EXPLORATION CO,NFX,912750
121077,3,20101220,,I0003,F5 NETWORKS INC,FFIV,1048695
147579,3,20101220,,I0003,NETFLIX INC,NFLX,1065280
12485,3,20101220,20160623,I0003,ALTICE USA INC,ATUS,1702780
186106,3,20110104,20120524,I0003,MOTOROLA MOBILITY HLDGS INC,MMI.3,1495569
11925,3,20110118,20150719,I0003,NOBLE CORP PLC,NE,1458891
13003,3,20110228,20151007,I0003,JOY GLOBAL INC,JOY,801898
177264,3,20110301,20150126,I0003,COVIDIEN PLC,COV,1385187
133366,3,20110401,,I0003,EDWARDS LIFESCIENCES CORP,EW,1099800
124434,3,20110404,,I0003,BLACKROCK INC,BLK,1364742
165914,3,20110428,,I0003,CHIPOTLE MEXICAN GRILL INC,CMG,1058090
162448,3,20110602,20121001,I0003,ALPHA NATURAL RESOURCES INC,ANRZQ,1301063
186989,3,20110701,,I0003,MARATHON PETROLEUM CORP,MPC,1510295
143357,3,20110706,,I0003,ACCENTURE PLC,ACN,1467373
162129,3,20110926,,I0003,MOSAIC CO,MOS,1285785
177267,3,20111017,,I0003,TE CONNECTIVITY LTD,TEL,1385157
189491,3,20111101,,I0003,XYLEM INC,XYL,1524472
3497,3,20111123,20121202,I0003,COOPER INDUSTRIES PLC,CBE,1141982
1837,3,20111213,20160630,I0003,SOUTHERN CO GAS,SO7,1004155
24782,3,20111219,,I0003,PERRIGO CO PLC,PRGO,1585364
28742,3,20111219,,I0003,BORGWARNER INC,BWA,908255
31587,3,20111219,,I0003,DOLLAR TREE INC,DLTR,935703
199356,3,20111221,,I0003,TRIPADVISOR INC,TRIP,1526520
