2017,2018,,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,,
,,18,Alexion Pharmaceuticals,ALXN,reports,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/12,899866,1992,,
ALGN,,19,Terdata Corp.,TDC,reports,,,,,816761,,,
,,20,Allegion,ALLE,reports,Industrials,Building Products,"Dublin, Ireland",12/2/13,1579241,1908,,
,,21,"Allergan, Plc",AGN,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/99,1578845,1983,,
,,22,Alliance Data Systems,ADS,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/13,1101215,1996,,
,,23,Alliant Energy Corp,LNT,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/16,352541,1917,,
,,24,Allstate Corp,ALL,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931,,
,,25,Alphabet Inc Class A,GOOGL,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/14,1652044,1998,,
,,26,Alphabet Inc Class C,GOOG,reports,Communication Services,Interactive Media & Services,"Mountain View, California",4/3/06,1652044,1998,,
,,27,Altria Group Inc,MO,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985,,
,,28,Amazon.com Inc.,AMZN,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/05,1018724,1994,,
,,29,Ameren Corp,AEE,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902,,
,,30,American Airlines Group,AAL,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/15,6201,1934,,
,,31,American Electric Power,AEP,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906,,
,,32,American Express Co,AXP,reports,Financials,Consumer Finance,"New York, New York",6/30/76,4962,1850,,
,,33,American International Group,AIG,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/80,5272,1919,,
,,34,American Tower Corp.,AMT,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995,,
,,35,American Water Works Company Inc,AWK,reports,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/16,1410636,1886,,
,,36,Ameriprise Financial,AMP,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894,,
,,37,AmerisourceBergen Corp,ABC,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985,,
,,38,AMETEK Inc.,AME,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930,,
,,39,Amgen Inc.,AMGN,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980,,
,,40,Amphenol Corp,APH,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932,,
,,41,Anadarko Petroleum Corp,APC,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/97,773910,1959,,
,,42,"Analog Devices, Inc.",ADI,reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/99,6281,1965,,
ANSS,,43,Ryder Systems Inc.,R,reports,,,,,1104485,,,
,,44,Anthem Inc.,ANTM,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1940s),,
,,45,Aon plc,AON,reports,Financials,Insurance Brokers,"London, United Kingdom",4/23/96,315293,1982 (1919),,
aos,,46,Ben Bath and Beyond,BBBY,,,,,,886158,,,
,,47,Apache Corporation,APA,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,6769,1954,,
,,48,Apartment Investment & Management,AIV,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/03,922864,1994 (1975),,
,,49,Apple Inc.,AAPL,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/82,320193,1977,,
,,50,Applied Materials Inc.,AMAT,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967,,
,,51,Aptiv Plc,APTV,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/12,1521332,1994,,
,,52,Archer-Daniels-Midland Co,ADM,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/81,7084,1902,,
,,53,Arconic Inc.,ARNC,reports,Industrials,Aerospace & Defense,"New York, New York",3/31/64,4281,2016,,
,anet,54,GGP Inc.,GGP,reports,,,,,895648,,,
,,55,Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/16,354190,,,
,,56,Assurant,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238,,,
,ATO,57,Newfield Exploration,NFX,reports,,,,,912750,,,
,,58,AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/83,732717,1983,,
,,59,Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",12/1/89,769397,,,
,,60,Automatic Data Processing,ADP,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",3/31/81,8670,,,
,,61,AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,,,
,,62,"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912,,,
,,63,Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",12/31/87,8818,,,
,,64,"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1701605,2017,,
,,65,Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,,,
,,66,Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/76,70858,,,
,,67,The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/95,1390777,,,
,,68,Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/72,10456,1931,,
,,69,BB&T Corporation,BBT,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",12/4/97,92230,,,
,,70,Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/72,10795,1897,,
,,71,Berkshire Hathaway,BRK.B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/10,1067983,,,
,,72,Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,,,
,,73,Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",11/13/03,875045,,,
,,74,BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/11,1364742,,,
,,75,Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",11/30/86,12659,,,
,,76,Boeing Company,BA,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916,,
,,77,Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531,,,
,,78,BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/11,908255,,,
,,79,Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,,,
,,80,Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/95,885725,,,
,,81,Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989,,
,,82,Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",5/8/14,1441634,,,
,BR,83,Range Resources,RRC,reports,,,,,315852,,,
,,84,Brown-Forman Corp.,BF.B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,,,
,,85,C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,,,
,,86,Cabot Oil & Gas,COG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,,,
CDNS,,87,Staples,SPLS,reports,,,,,791519,,,
,,88,Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869,,
,,89,Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1935,,
,,90,Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,1530721,,,
,,91,Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,,,
,,92,Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010,,,
,,93,Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,,,
,,94,Caterpillar Inc.,CAT,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,18230,1925,,
CBOE,,95,Pitney Bowes Inc.,PBI,reports,,,,,78814,,,
,,96,CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/06,1138118,,,
,,97,CBS Corp.,CBS,reports,Communication Services,Broadcasting,"New York, New York",9/1/94,813828,2006,,
,CE,98,Express Scripts,ESRX,reports,,,,,1532063,,,
,,99,Celgene Corp.,CELG,reports,Health Care,Biotechnology,"Summit, New Jersey",39027,816284,,,
,,100,Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",42459,1071739,,,
,,101,CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",31259,1130310,,,
,,102,CenturyLink Inc,CTL,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",36244,18926,,,
,,103,Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",40298,804753,,,
,,104,CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",39687,1324404,,,
,,105,Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",35583,316709,,,
,,106,Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",42621,1091667,,,
,,107,Chevron Corp.,CVX,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879,,
,,108,Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",40661,1058090,,,
,,109,Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",40374,896159,,,
,,110,Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",42367,313927,,,
,,111,CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",27941,701221,,,
,,112,Cimarex Energy,XEC,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",41811,1168054,,,
,,113,Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",35782,20286,,,
